pair;prefix_length;algorithm;time_ms;score;matrix_cells
1-2;50;Needleman-Wunsch;0.8399;10;2601
1-2;50;Smith-Waterman;0.9114;28;2601
1-3;50;Needleman-Wunsch;0.9225;19;2601
1-3;50;Smith-Waterman;0.8814;29;2601
1-4;50;Needleman-Wunsch;0.9268;4;2601
1-4;50;Smith-Waterman;0.8858;21;2601
1-5;50;Needleman-Wunsch;0.9094;22;2601
1-5;50;Smith-Waterman;0.8685;32;2601
2-3;50;Needleman-Wunsch;0.9311;13;2601
2-3;50;Smith-Waterman;0.8584;23;2601
2-4;50;Needleman-Wunsch;0.9245;10;2601
2-4;50;Smith-Waterman;0.9092;20;2601
2-5;50;Needleman-Wunsch;0.9321;16;2601
2-5;50;Smith-Waterman;0.881;28;2601
3-4;50;Needleman-Wunsch;1.001;13;2601
3-4;50;Smith-Waterman;0.8869;32;2601
3-5;50;Needleman-Wunsch;0.965;19;2601
3-5;50;Smith-Waterman;0.9367;27;2601
4-5;50;Needleman-Wunsch;0.974;7;2601
4-5;50;Smith-Waterman;0.8868;21;2601
1-2;100;Needleman-Wunsch;3.9437;44;10201
1-2;100;Smith-Waterman;3.8333;53;10201
1-3;100;Needleman-Wunsch;3.9065;50;10201
1-3;100;Smith-Waterman;3.8357;69;10201
1-4;100;Needleman-Wunsch;3.5621;26;10201
1-4;100;Smith-Waterman;3.7563;40;10201
1-5;100;Needleman-Wunsch;3.2585;47;10201
1-5;100;Smith-Waterman;4.2252;55;10201
2-3;100;Needleman-Wunsch;12.3025;41;10201
2-3;100;Smith-Waterman;3.4786;47;10201
2-4;100;Needleman-Wunsch;3.1933;29;10201
2-4;100;Smith-Waterman;3.5653;48;10201
2-5;100;Needleman-Wunsch;3.2079;35;10201
2-5;100;Smith-Waterman;3.4876;50;10201
3-4;100;Needleman-Wunsch;10.3122;38;10201
3-4;100;Smith-Waterman;4.4643;55;10201
3-5;100;Needleman-Wunsch;4.4383;26;10201
3-5;100;Smith-Waterman;4.6645;39;10201
4-5;100;Needleman-Wunsch;4.2188;23;10201
4-5;100;Smith-Waterman;4.4128;57;10201
1-2;200;Needleman-Wunsch;14.3948;58;40401
1-2;200;Smith-Waterman;16.5202;73;40401
1-3;200;Needleman-Wunsch;17.1385;85;40401
1-3;200;Smith-Waterman;16.6027;99;40401
1-4;200;Needleman-Wunsch;16.0871;76;40401
1-4;200;Smith-Waterman;15.1413;86;40401
1-5;200;Needleman-Wunsch;14.1519;88;40401
1-5;200;Smith-Waterman;15.5198;104;40401
2-3;200;Needleman-Wunsch;15.2358;70;40401
2-3;200;Smith-Waterman;17.7093;83;40401
2-4;200;Needleman-Wunsch;16.7977;73;40401
2-4;200;Smith-Waterman;15.9355;78;40401
2-5;200;Needleman-Wunsch;15.8034;70;40401
2-5;200;Smith-Waterman;13.7729;92;40401
3-4;200;Needleman-Wunsch;14.9801;91;40401
3-4;200;Smith-Waterman;15.1603;105;40401
3-5;200;Needleman-Wunsch;19.5456;67;40401
3-5;200;Smith-Waterman;17.264;82;40401
4-5;200;Needleman-Wunsch;12.3831;76;40401
4-5;200;Smith-Waterman;16.893;100;40401
1-2;500;Needleman-Wunsch;92.3813;163;251001
1-2;500;Smith-Waterman;95.3273;176;251001
1-3;500;Needleman-Wunsch;113.9215;199;251001
1-3;500;Smith-Waterman;114.2391;226;251001
1-4;500;Needleman-Wunsch;108.8744;220;251001
1-4;500;Smith-Waterman;103.9601;229;251001
1-5;500;Needleman-Wunsch;106.6005;205;251001
1-5;500;Smith-Waterman;109.0462;241;251001
2-3;500;Needleman-Wunsch;105.3503;196;251001
2-3;500;Smith-Waterman;105.82;206;251001
2-4;500;Needleman-Wunsch;119.4596;175;251001
2-4;500;Smith-Waterman;112.7862;197;251001
2-5;500;Needleman-Wunsch;100.7517;163;251001
2-5;500;Smith-Waterman;113.678;187;251001
3-4;500;Needleman-Wunsch;105.5807;217;251001
3-4;500;Smith-Waterman;101.8338;240;251001
